CGF_Subtype	Cluster_size	ECC_80_10_10	ECC_10_80_10	ECC_50_30_20
0731.001.005	17	0.525935253	0.378403788	0.467478256
0982.001.002	20	0.579001741	0.46455096	0.530786464
0044.003.001	20	0.583759522	0.365339373	0.499741963
0926.002.001	29	0.577202274	0.413000001	0.509095209
0933.004.002	13	0.575771275	0.370173835	0.495243056
0173.002.004	7	0.619494126	0.391950636	0.548084553
0077.001.003	6	0.678064128	0.591287935	0.65502921
0735.005.001	11	0.638476608	0.541513862	0.605648885
0853.011.001	3	0.905182822	0.731816521	0.83577183
0904.002.002	15	0.514321971	0.344098172	0.446834994
0083.007.001	6	0.635259724	0.51635809	0.600445208
0169.001.002	45	0.637602072	0.411816508	0.547063989
0891.001.001	4	0.729282225	0.866057551	0.779138724
0695.006.001	19	0.500669162	0.284726517	0.401808219
0882.005.001	7	0.56796246	0.315967799	0.465762343
0173.004.001	12	0.605007145	0.364577758	0.500984676
0238.007.002	5	0.558307196	0.438675916	0.50664247
0926.002.004	24	0.990224481	0.972350656	0.983068304
0957.001.001	24	0.492726147	0.301827022	0.413481474
0535.001.003	8	0.512645122	0.291482269	0.396566766
0253.004.001	10	0.569487576	0.328188839	0.490983264
0269.004.001	14	0.596308655	0.324729555	0.471244797
0083.001.002	8	0.625917954	0.362823234	0.491960069
0893.001.001	3	0.779610578	0.73284894	0.681350218
0923.002.001	9	0.59428122	0.380645523	0.529745338
0960.007.001	11	0.481949111	0.272003768	0.382573349
0933.008.001	3	0.335630972	0.157083766	0.251575709
0609.006.004	15	0.626931462	0.42753928	0.529137029
0949.001.002	8	0.526741634	0.324622549	0.424920214
0609.013.002	5	0.754296751	0.437750358	0.602365207
0960.003.002	4	0.570097219	0.343193867	0.506974025
0103.001.002	7	0.599088515	0.408023986	0.544003099
0253.001.002	6	0.57880449	0.411199195	0.498250612
0817.003.001	10	0.562816561	0.398211062	0.474415633
0811.009.002	13	0.628531163	0.33906056	0.469494193
0633.004.002	1	NA	NA	NA
0811.008.001	11	0.528655845	0.334904972	0.424430293
0844.001.001	4	0.764665411	0.544155017	0.632904086
0574.003.001	1	NA	NA	NA
0574.003.002	3	1	1	1
0574.003.003	3	1	1	1
0782.006.001	1	NA	NA	NA
0782.006.002	1	NA	NA	NA
0801.001.004	1	NA	NA	NA
0572.009.006	1	NA	NA	NA
0592.001.001	1	NA	NA	NA
0592.001.002	2	0.977518985	0.936414087	0.96106174
0592.006.001	1	NA	NA	NA
0592.006.003	4	0.967639754	0.908471403	0.94395041
0592.006.004	3	0.969212899	0.91292093	0.946675178
0613.001.001	1	NA	NA	NA
0633.010.003	2	0.390959191	0.240478537	0.374040161
0634.005.001	1	NA	NA	NA
0634.005.002	1	NA	NA	NA
0634.007.004	7	0.64595333	0.529279564	0.621169865
0634.008.001	1	NA	NA	NA
0634.008.002	1	NA	NA	NA
0636.001.004	1	NA	NA	NA
0637.004.003	2	0.674681369	0.430692971	0.600121225
0592.004.002	1	NA	NA	NA
0633.010.005	1	NA	NA	NA
0633.002.005	1	NA	NA	NA
0006.001.001	1	NA	NA	NA
0011.003.002	1	NA	NA	NA
