Strain	Source	Country	Province	City	Latitude	Longitude	Day	Month	Year
Isolate_1	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	6	6	2006
Isolate_2	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	19	6	2006
Isolate_3	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	22	6	2006
Isolate_4	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	4	7	2006
Isolate_5	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	5	7	2006
Isolate_6	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	5	7	2006
Isolate_7	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	10	8	2006
Isolate_8	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	15	8	2006
Isolate_9	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	18	8	2006
Isolate_10	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	13	9	2006
Isolate_11	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	19	9	2006
Isolate_12	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	24	9	2006
Isolate_13	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	29	10	2006
Isolate_14	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	11	2006
Isolate_15	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	23	11	2006
Isolate_16	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	4	12	2006
Isolate_17	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	5	2	2007
Isolate_18	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	13	2	2007
Isolate_19	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	3	2007
Isolate_20	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	6	3	2007
Isolate_21	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	29	3	2007
Isolate_22	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	17	4	2007
Isolate_23	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	5	2007
Isolate_24	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	30	5	2007
Isolate_25	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	19	6	2007
Isolate_26	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	6	7	2007
Isolate_27	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	10	7	2007
Isolate_28	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	16	7	2007
Isolate_29	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	20	7	2007
Isolate_30	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	31	7	2007
Isolate_31	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	31	7	2007
Isolate_32	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	8	2007
Isolate_33	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	20	8	2007
Isolate_34	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	21	8	2007
Isolate_35	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	21	8	2007
Isolate_36	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	5	9	2007
Isolate_37	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	6	9	2007
Isolate_38	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	23	9	2007
Isolate_39	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	25	9	2007
Isolate_40	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	3	10	2007
Isolate_41	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	26	6	2008
Isolate_42	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_43	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_44	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_45	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_46	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_47	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_48	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	2	7	2008
Isolate_49	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	7	2008
Isolate_50	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	7	2008
Isolate_51	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	15	7	2008
Isolate_52	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	22	7	2008
Isolate_53	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	28	7	2008
Isolate_54	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	12	8	2008
Isolate_55	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	15	8	2008
Isolate_56	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	22	8	2008
Isolate_57	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	28	8	2008
Isolate_58	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	7	9	2008
Isolate_59	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	12	9	2008
Isolate_60	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	17	9	2008
Isolate_61	Human_Urban	Canada	Ontario	Waterloo	43.4642578	-80.5204096	23	9	2008
Isolate_62	Cat	Canada	Alberta	N/A	53.9332706	-116.5765035	10	8	2004
Isolate_63	Dog	Canada	Alberta	Lethbridge	49.69349	-112.84184	26	6	2006
Isolate_64	Raccoon	Canada	Ontario	N/A	51.253775	-85.3232139	4	10	2011
Isolate_65	Raccoon	Canada	Ontario	N/A	51.253775	-85.3232139	4	10	2011
Isolate_66	Raccoon	Canada	Ontario	N/A	51.253775	-85.3232139	5	10	2011
Isolate_67	Raccoon	Canada	Ontario	N/A	51.253775	-85.3232139	13	10	2011
Isolate_68	Raccoon	Canada	Ontario	N/A	51.253775	-85.3232139	19	7	2012
Isolate_69	Chicken@Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	26	9	2005
Isolate_70	Chicken@Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	10	4	2007
Isolate_71	Chicken@Retail	Canada	Ontario	Waterloo	43.4642578	-80.5204096	28	5	2007
