Strain	CGF	ST	CC
Isolate_264	0592.006.004	NA	NA
Isolate_400	0592.006.002	NA	NA
Isolate_561	0102.001.001	NA	NA
Isolate_611	0787.001.001	NA	NA
Isolate_497	0904.002.002	NA	NA
Isolate_295	0044.003.001	NA	NA
Isolate_596	0634.007.004	NA	NA
Isolate_593	0634.007.001	NA	NA
Isolate_279	0592.004.002	NA	NA
Isolate_442	0904.002.002	NA	NA
Isolate_398	0535.001.003	NA	NA
Isolate_495	0882.005.001	NA	NA
Isolate_403	0604.003.001	NA	NA
Isolate_613	0844.003.002	NA	NA
Isolate_180	0811.008.001	NA	NA
Isolate_181	0811.008.001	NA	NA
Isolate_203	0811.008.001	NA	NA
Isolate_213	0811.009.002	NA	NA
Isolate_223	0731.001.005	NA	NA
Isolate_224	0811.008.001	NA	NA
Isolate_227	0535.001.003	NA	NA
Isolate_199	0811.009.002	995	828
Isolate_210	0844.001.001	991	828
Isolate_217	0844.001.001	991	828
Isolate_218	0844.001.001	991	828
Isolate_221	0817.003.001	996	996
Isolate_143	0269.004.001	8	21
Isolate_144	0609.006.004	1068	828
Isolate_145	0253.001.002	3391	992
Isolate_146	0609.006.004	1068	828
Isolate_147	0695.006.001	1244	61
Isolate_148	0253.001.002	3391	922
Isolate_149	0609.013.002	1068	828
Isolate_150	0609.013.002	1068	828
Isolate_151	0253.001.002	3391	922
Isolate_152	0609.013.002	1068	828
Isolate_153	0695.006.001	61	61
Isolate_196	0811.009.002	3495	900
Isolate_119	0731.001.005	459	42
Isolate_120	0982.001.002	929	257
Isolate_121	0982.001.002	929	257
Isolate_122	0695.006.001	61	61
Isolate_125	0169.001.002	21	21
Isolate_187	0731.001.005	459	42
Isolate_111	0173.004.001	8	21
Isolate_112	0609.006.004	1068	828
Isolate_113	0949.001.002	132	508
Isolate_258	0592.006.003	1417	828
Isolate_274	0634.008.001	1096	828
Isolate_259	0592.006.003	2504	2504
Isolate_271	0634.007.004	890	828
Isolate_260	0592.006.003	1631	1631
Isolate_261	0592.006.003	2505	2505
Isolate_263	0592.006.004	1115	1115
Isolate_272	0634.007.004	1096	828
Isolate_273	0634.007.004	890	828
Isolate_278	0731.001.005	459	42
Isolate_267	0633.010.003	1573	828
Isolate_276	0636.001.004	2507	828
Isolate_268	0634.005.001	1185	1185
Isolate_254	0592.001.001	2506	2506
Isolate_269	0634.005.002	1096	828
Isolate_262	0592.006.004	1172	1172
Isolate_270	0634.007.004	1096	828
Isolate_257	0592.006.001	1097	1097
Isolate_266	0613.001.001	2509	828
Isolate_275	0634.008.002	2508	828
Isolate_250	0817.003.001	996	996
Isolate_251	0817.003.001	996	996
Isolate_246	0782.006.002	2524	179
Isolate_360	0169.001.002	982	21
Isolate_299	0044.003.001	922	922
Isolate_318	0083.001.002	2521	48
Isolate_313	0082.001.004	48	48
Isolate_287	0012.004.001	2517	353
Isolate_377	0173.004.001	21	21
Isolate_331	0109.001.002	653	354
Isolate_470	0933.008.001	45	45
Isolate_413	0634.007.001	1017	828
Isolate_422	0695.017.002	1244	61
Isolate_339	0120.005.001	2523	2523
Isolate_319	0083.007.001	222	206
Isolate_419	0695.006.001	61	61
Isolate_298	0044.003.001	922	922
Isolate_583	0260.007.001	262	21
Isolate_647	0957.001.001	45	45
Isolate_559	0083.007.001	429	48
Isolate_545	0013.004.001	939	353
Isolate_606	0735.005.001	42	42
Isolate_652	0960.007.001	45	45
Isolate_569	0129.001.001	460	460
Isolate_631	0926.002.001	45	45
Isolate_623	0893.003.002	1228	45
Isolate_603	0708.001.001	21	21
Isolate_649	0960.003.001	45	45
Isolate_617	0882.005.001	267	283
Isolate_568	0123.002.001	51	443
Isolate_577	0173.002.003	21	21
Isolate_627	0923.002.001	45	45
Isolate_601	0695.006.001	45	45
Isolate_628	0923.002.001	45	45
Isolate_602	0695.006.001	352	61
Isolate_581	0253.004.001	50	21
Isolate_575	0169.001.002	982	21
Isolate_595	0634.007.001	825	828
Isolate_570	0129.001.001	460	460
Isolate_574	0169.001.002	982	21
Isolate_490	0982.001.002	929	257
Isolate_428	0782.001.003	5458	1226
Isolate_426	0735.001.002	459	42
Isolate_450	0926.002.001	45	45
Isolate_410	0634.006.001	860	828
Isolate_416	0634.009.001	2174	828
Isolate_385	0253.001.002	50	21
Isolate_386	0253.001.002	50	21
Isolate_291	0027.003.002	404	353
Isolate_359	0169.001.002	982	21
Isolate_468	0933.004.002	45	45
Isolate_286	0012.002.002	2518	353
Isolate_449	0923.002.001	45	45
Isolate_391	0260.007.001	262	21
Isolate_467	0933.004.002	45	45
Isolate_433	0844.003.002	699	692
Isolate_312	0082.001.004	48	48
Isolate_245	0782.006.001	2524	179
Isolate_249	0811.008.001	2525	1034
Isolate_248	0811.008.001	2525	1034
Isolate_247	0801.001.004	1457	1457
Isolate_239	0574.003.002	2533	2533
Isolate_240	0574.003.002	2526	2526
Isolate_241	0574.003.002	2527	2527
Isolate_253	0572.009.006	2528	2528
Isolate_238	0574.003.001	2527	2527
Isolate_242	0574.003.003	2526	2526
Isolate_243	0574.003.003	1243	1243
Isolate_244	0574.003.003	2528	2528
Isolate_600	0638.002.001	2503	828
Isolate_644	0957.001.001	45	45
Isolate_645	0957.001.001	45	45
Isolate_612	0811.006.001	992	992
Isolate_556	0065.004.001	467	49
Isolate_609	0735.005.001	42	42
Isolate_588	0633.014.002	2502	828
Isolate_632	0926.002.001	45	45
Isolate_552	0027.004.002	353	353
Isolate_599	0637.004.003	2502	828
Isolate_373	0173.001.001	8	21
Isolate_471	0949.001.002	132	508
Isolate_479	0957.001.001	2516	45
Isolate_484	0960.003.002	45	45
Isolate_323	0093.001.001	2262	48
Isolate_406	0609.006.004	1068	828
Isolate_401	0602.003.002	860	828
Isolate_420	0695.006.001	21	21
Isolate_492	0982.001.002	929	257
Isolate_374	0173.002.003	922	922
Isolate_487	0982.001.002	2513	21
Isolate_384	0253.001.001	929	257
Isolate_472	0956.001.004	508	508
Isolate_387	0253.004.001	50	21
Isolate_366	0169.001.002	141	21
Isolate_292	0027.004.002	2519	353
Isolate_440	0904.001.002	22	22
Isolate_300	0044.003.001	922	922
Isolate_383	0176.007.002	21	21
Isolate_349	0145.001.001	2167	2167
Isolate_320	0083.007.001	918	48
Isolate_432	0811.008.001	2514	2514
Isolate_330	0107.003.002	969	354
Isolate_378	0173.004.001	21	21
Isolate_414	0634.007.004	1614	828
Isolate_338	0120.002.001	440	443
Isolate_361	0169.001.002	982	21
Isolate_252	0926.002.001	45	45
Isolate_524	0949.001.002	132	508
Isolate_350	0169.001.002	982	21
Isolate_441	0904.002.002	137	45
Isolate_508	0609.006.004	2501	828
Isolate_515	0609.011.004	902	828
Isolate_519	0735.005.001	42	42
Isolate_526	0960.007.001	45	45
Isolate_504	0061.001.002	2512	49
Isolate_525	0949.003.003	132	508
Isolate_522	0923.002.001	45	45
Isolate_415	0634.007.004	1579	828
Isolate_346	0129.001.002	460	460
Isolate_371	0169.001.002	982	21
Isolate_474	0956.001.004	508	508
Isolate_343	0124.001.001	3510	353
Isolate_491	0982.001.002	929	257
Isolate_483	0960.001.002	583	45
Isolate_328	0103.001.002	52	52
Isolate_431	0801.001.003	1457	1457
Isolate_305	0077.001.004	2879	206
Isolate_408	0631.001.001	48	48
Isolate_520	0898.004.002	42	42
Isolate_506	0169.001.002	982	21
Isolate_517	0731.001.005	459	42
Isolate_521	0898.004.002	42	42
Isolate_523	0933.004.002	45	45
Isolate_362	0169.001.002	982	21
Isolate_478	0957.001.001	45	45
Isolate_302	0061.001.002	3	49
Isolate_356	0169.001.002	982	21
Isolate_418	0695.006.001	61	61
Isolate_411	0634.006.002	1082	828
Isolate_476	0956.001.004	508	508
Isolate_303	0077.001.003	222	206
Isolate_435	0882.005.001	267	283
Isolate_486	0960.007.001	45	45
Isolate_351	0169.001.002	982	21
Isolate_352	0169.001.002	982	21
Isolate_404	0609.006.004	1068	828
Isolate_294	0044.003.001	922	922
Isolate_473	0956.001.004	508	508
Isolate_290	0017.002.003	2880	607
Isolate_376	0173.004.001	21	21
Isolate_332	0109.001.002	653	354
Isolate_336	0117.002.003	1212	607
Isolate_488	0982.001.002	929	257
Isolate_489	0982.001.002	929	257
Isolate_288	0017.002.001	353	353
Isolate_417	0695.006.001	61	61
Isolate_321	0083.007.002	918	48
