MLST_ST	Cluster_Size	ECC_50_30_20	ECC_10_80_10	ECC_80_10_10
ST-459	17	0.494870269	0.405717306	0.553701595
ST-929	17	0.515315382	0.455008585	0.563102891
ST-2520	1	NA	NA	NA
ST-61	11	0.377926499	0.262221078	0.469869319
ST-45	127	0.496519052	0.383132953	0.570028524
ST-2522	1	NA	NA	NA
ST-21	25	0.514863368	0.367611853	0.610644657
ST-441	2	0.716229427	0.536604595	0.836164983
ST-3512	1	NA	NA	NA
ST-42	13	0.603070744	0.53047023	0.633994169
ST-222	4	0.649514399	0.574377412	0.682296074
ST-933	3	0.83577183	0.731816521	0.905182822
ST-137	12	0.438199686	0.350543547	0.504162205
ST-922	19	0.470752563	0.360669933	0.556519082
ST-918	3	0.748812589	0.589812676	0.854976881
ST-1244	8	0.427759597	0.301368313	0.541859794
ST-267	8	0.509147472	0.384774159	0.59627864
ST-3855	1	NA	NA	NA
ST-982	39	0.577394102	0.441598344	0.662052405
ST-3530	1	NA	NA	NA
ST-806	4	0.498175949	0.420847987	0.571398195
ST-2249	1	NA	NA	NA
ST-2539	1	NA	NA	NA
ST-50	13	0.497058348	0.331350007	0.57519257
ST-429	3	0.733041973	0.564059368	0.845871711
ST-353	9	0.587664494	0.446346804	0.654996686
ST-8	19	0.432215104	0.289062335	0.555561204
ST-679	4	0.565616044	0.418225311	0.633063536
ST-2521	6	0.57010949	0.502353006	0.671961405
ST-1068	25	0.536818824	0.397474644	0.665779936
ST-132	10	0.439868565	0.335779265	0.54426202
ST-52	8	0.56243096	0.429200134	0.619698705
ST-7694	1	NA	NA	NA
ST-3391	3	1	1	1
ST-1206	3	1	1	1
ST-48	12	0.562455196	0.410939782	0.673977603
ST-710	1	NA	NA	NA
ST-5164	1	NA	NA	NA
ST-693	4	0.516108186	0.376543421	0.692318104
ST-3112	2	0.339195754	0.103574566	0.583695934
ST-996	5	0.513221673	0.392305148	0.685906721
ST-3495	2	0.391055072	0.221539246	0.608781899
ST-1030	2	0.348197974	0.13882691	0.585616176
ST-5128	1	NA	NA	NA
ST-995	1	NA	NA	NA
ST-682	5	0.391830045	0.282625221	0.521577112
ST-828	9	0.400496082	0.326871851	0.476628593
ST-991	4	0.632904086	0.544155017	0.764665411
ST-5452	1	NA	NA	NA
ST-4071	2	0.89134742	0.82257108	0.937269404
ST-6516	1	NA	NA	NA
ST-1294	1	NA	NA	NA
ST-4080	1	NA	NA	NA
ST-2527	2	1	1	1
ST-2533	1	NA	NA	NA
ST-2526	2	0.827930948	0.719012414	0.900655886
ST-1243	1	NA	NA	NA
ST-2528	2	0.665684098	0.454064418	0.806982624
ST-2524	2	1	1	1
ST-1457	2	0.4190076	0.392224234	0.379465132
ST-2525	2	1	1	1
ST-2506	1	NA	NA	NA
ST-1105	1	NA	NA	NA
ST-1450	2	1	1	1
ST-1097	1	NA	NA	NA
ST-1417	1	NA	NA	NA
ST-2504	1	NA	NA	NA
ST-1631	1	NA	NA	NA
ST-2505	1	NA	NA	NA
ST-1172	1	NA	NA	NA
ST-1115	1	NA	NA	NA
ST-2510	1	NA	NA	NA
ST-2509	1	NA	NA	NA
ST-1573	1	NA	NA	NA
ST-1185	1	NA	NA	NA
ST-1096	4	0.925155886	0.877780074	0.956788731
ST-890	2	0.912005333	0.856305311	0.949196255
ST-2508	1	NA	NA	NA
ST-2507	1	NA	NA	NA
ST-2878	2	0.626450803	0.389996716	0.784331271
ST-900	1	NA	NA	NA
ST-3529	2	0.557835586	0.566566056	0.51376639
ST-3854	1	NA	NA	NA
ST-5	1	NA	NA	NA
ST-2518	1	NA	NA	NA
ST-2517	1	NA	NA	NA
ST-3898	1	NA	NA	NA
ST-2880	1	NA	NA	NA
ST-404	1	NA	NA	NA
ST-2519	1	NA	NA	NA
ST-3	1	NA	NA	NA
ST-917	2	0.500886116	0.424837021	0.495726705
ST-2879	1	NA	NA	NA
ST-924	1	NA	NA	NA
ST-3511	1	NA	NA	NA
ST-492	1	NA	NA	NA
ST-38	1	NA	NA	NA
ST-2262	1	NA	NA	NA
ST-354	1	NA	NA	NA
ST-969	1	NA	NA	NA
ST-653	2	0.648421665	0.425874983	0.797016154
ST-1219	3	0.572178535	0.461426724	0.609000553
ST-1212	5	0.590313086	0.499344142	0.627830907
ST-462	1	NA	NA	NA
ST-440	1	NA	NA	NA
ST-2523	1	NA	NA	NA
ST-331	1	NA	NA	NA
ST-2036	1	NA	NA	NA
ST-51	2	0.449147758	0.310307909	0.478081043
ST-3510	1	NA	NA	NA
ST-824	1	NA	NA	NA
ST-460	10	0.589877007	0.453840829	0.650155633
ST-2167	1	NA	NA	NA
ST-3857	1	NA	NA	NA
ST-141	1	NA	NA	NA
ST-3528	1	NA	NA	NA
ST-262	2	0.491268906	0.402790208	0.49253331
ST-3903	1	NA	NA	NA
ST-1224	1	NA	NA	NA
ST-448	1	NA	NA	NA
ST-860	2	0.803974332	0.679891424	0.886824528
ST-3858	1	NA	NA	NA
ST-2488	1	NA	NA	NA
ST-3856	1	NA	NA	NA
ST-3952	1	NA	NA	NA
ST-3901	1	NA	NA	NA
ST-1082	2	0.588499536	0.328022556	0.762420096
ST-1017	1	NA	NA	NA
ST-1614	1	NA	NA	NA
ST-1579	1	NA	NA	NA
ST-2174	1	NA	NA	NA
ST-3514	1	NA	NA	NA
ST-3527	1	NA	NA	NA
ST-5458	1	NA	NA	NA
ST-696	1	NA	NA	NA
ST-702	1	NA	NA	NA
ST-2514	1	NA	NA	NA
ST-699	1	NA	NA	NA
ST-3531	1	NA	NA	NA
ST-22	1	NA	NA	NA
ST-2109	1	NA	NA	NA
ST-508	5	0.712250085	0.530106356	0.833867509
ST-2516	1	NA	NA	NA
ST-3513	1	NA	NA	NA
ST-583	1	NA	NA	NA
ST-2513	1	NA	NA	NA
ST-283	1	NA	NA	NA
ST-467	2	0.424125025	0.257801488	0.469154138
ST-3515	1	NA	NA	NA
ST-2512	1	NA	NA	NA
ST-2501	1	NA	NA	NA
ST-902	1	NA	NA	NA
ST-3516	4	0.834392273	0.729563714	0.904386334
ST-939	5	0.709605745	0.525788167	0.832340799
ST-3518	1	NA	NA	NA
ST-937	1	NA	NA	NA
ST-1210	1	NA	NA	NA
ST-1698	1	NA	NA	NA
ST-452	1	NA	NA	NA
ST-859	1	NA	NA	NA
ST-3517	2	0.754420341	0.598970096	0.858214518
ST-3519	1	NA	NA	NA
ST-829	2	0.841673432	0.741453797	0.908590113
ST-2502	2	0.89134742	0.82257108	0.937269404
ST-464	1	NA	NA	NA
ST-3521	1	NA	NA	NA
ST-3899	1	NA	NA	NA
ST-825	1	NA	NA	NA
ST-607	1	NA	NA	NA
ST-1065	1	NA	NA	NA
ST-2503	1	NA	NA	NA
ST-352	1	NA	NA	NA
ST-992	1	NA	NA	NA
ST-1332	1	NA	NA	NA
ST-3904	1	NA	NA	NA
ST-3900	1	NA	NA	NA
ST-3520	2	1	1	1
ST-1228	1	NA	NA	NA
ST-766	1	NA	NA	NA
