Var1	Var2	value
Chicken@Abattoir	Chicken@Abattoir	0
Chicken@Farm	Chicken@Abattoir	0.216
Chicken@Retail	Chicken@Abattoir	0.176
Turkey@Farm	Chicken@Abattoir	0.216
Turkey@Retail	Chicken@Abattoir	0.176
Duck@Farm	Chicken@Abattoir	0.216
Duck@Retail	Chicken@Abattoir	0.176
Goose@Farm	Chicken@Abattoir	0.216
Cow@Abattoir	Chicken@Abattoir	0.24
Cow@Farm	Chicken@Abattoir	0.36
Goat@Farm	Chicken@Abattoir	0.296
Sheep@Farm	Chicken@Abattoir	0.296
Cow@Retail	Chicken@Abattoir	0.32
Pig@Farm	Chicken@Abattoir	0.296
Pig@Retail	Chicken@Abattoir	0.256
Sheep@Retail	Chicken@Abattoir	0.256
Donkey@Farm	Chicken@Abattoir	0.408
Horse@Farm	Chicken@Abattoir	0.408
Llama@Farm	Chicken@Abattoir	0.408
DomesticFly	Chicken@Abattoir	0.472
Rat	Chicken@Abattoir	0.592
Skunk	Chicken@Abattoir	0.616
Deer	Chicken@Abattoir	0.616
Soil@CattleFarm	Chicken@Abattoir	0.48
Water@Lake	Chicken@Abattoir	0.704
Seagull	Chicken@Abattoir	0.448
WildGoose	Chicken@Abattoir	0.552
Raccoon	Chicken@Abattoir	0.536
Human_Urban	Chicken@Abattoir	0.6
Human_FarmWorker	Chicken@Abattoir	0.68
Human_AbattoirWorker	Chicken@Abattoir	0.568
Cat	Chicken@Abattoir	0.6
Dog	Chicken@Abattoir	0.6
Sewage@TreatmentPlant	Chicken@Abattoir	0.616
Lagoon@PigFarm	Chicken@Abattoir	0.472
Manure@CattleFarm	Chicken@Abattoir	0.504
FreshProduce	Chicken@Abattoir	0.424
RawMilk	Chicken@Abattoir	0.36
Sand@RecreationalBeach	Chicken@Abattoir	0.8
Water@IrrigationDitch	Chicken@Abattoir	0.616
Chicken@Abattoir	Chicken@Farm	0.216
Chicken@Farm	Chicken@Farm	0
Chicken@Retail	Chicken@Farm	0.208
Turkey@Farm	Chicken@Farm	0.04
Turkey@Retail	Chicken@Farm	0.208
Duck@Farm	Chicken@Farm	0.04
Duck@Retail	Chicken@Farm	0.208
Goose@Farm	Chicken@Farm	0.04
Cow@Abattoir	Chicken@Farm	0.328
Cow@Farm	Chicken@Farm	0.184
Goat@Farm	Chicken@Farm	0.12
Sheep@Farm	Chicken@Farm	0.12
Cow@Retail	Chicken@Farm	0.352
Pig@Farm	Chicken@Farm	0.12
Pig@Retail	Chicken@Farm	0.288
Sheep@Retail	Chicken@Farm	0.288
Donkey@Farm	Chicken@Farm	0.416
Horse@Farm	Chicken@Farm	0.416
Llama@Farm	Chicken@Farm	0.416
DomesticFly	Chicken@Farm	0.504
Rat	Chicken@Farm	0.6
Skunk	Chicken@Farm	0.608
Deer	Chicken@Farm	0.608
Soil@CattleFarm	Chicken@Farm	0.488
Water@Lake	Chicken@Farm	0.696
Seagull	Chicken@Farm	0.48
WildGoose	Chicken@Farm	0.544
Raccoon	Chicken@Farm	0.544
Human_Urban	Chicken@Farm	0.616
Human_FarmWorker	Chicken@Farm	0.56
Human_AbattoirWorker	Chicken@Farm	0.672
Cat	Chicken@Farm	0.632
Dog	Chicken@Farm	0.632
Sewage@TreatmentPlant	Chicken@Farm	0.688
Lagoon@PigFarm	Chicken@Farm	0.48
Manure@CattleFarm	Chicken@Farm	0.512
FreshProduce	Chicken@Farm	0.4
RawMilk	Chicken@Farm	0.352
Sand@RecreationalBeach	Chicken@Farm	0.792
Water@IrrigationDitch	Chicken@Farm	0.624
Chicken@Abattoir	Chicken@Retail	0.176
Chicken@Farm	Chicken@Retail	0.208
Chicken@Retail	Chicken@Retail	0
Turkey@Farm	Chicken@Retail	0.208
Turkey@Retail	Chicken@Retail	0.04
Duck@Farm	Chicken@Retail	0.208
Duck@Retail	Chicken@Retail	0.04
Goose@Farm	Chicken@Retail	0.208
Cow@Abattoir	Chicken@Retail	0.272
Cow@Farm	Chicken@Retail	0.352
Goat@Farm	Chicken@Retail	0.288
Sheep@Farm	Chicken@Retail	0.288
Cow@Retail	Chicken@Retail	0.184
Pig@Farm	Chicken@Retail	0.288
Pig@Retail	Chicken@Retail	0.12
Sheep@Retail	Chicken@Retail	0.12
Donkey@Farm	Chicken@Retail	0.384
Horse@Farm	Chicken@Retail	0.384
Llama@Farm	Chicken@Retail	0.384
DomesticFly	Chicken@Retail	0.448
Rat	Chicken@Retail	0.568
Skunk	Chicken@Retail	0.592
Deer	Chicken@Retail	0.592
Soil@CattleFarm	Chicken@Retail	0.488
Water@Lake	Chicken@Retail	0.68
Seagull	Chicken@Retail	0.48
WildGoose	Chicken@Retail	0.528
Raccoon	Chicken@Retail	0.512
Human_Urban	Chicken@Retail	0.52
Human_FarmWorker	Chicken@Retail	0.616
Human_AbattoirWorker	Chicken@Retail	0.616
Cat	Chicken@Retail	0.592
Dog	Chicken@Retail	0.592
Sewage@TreatmentPlant	Chicken@Retail	0.664
Lagoon@PigFarm	Chicken@Retail	0.48
Manure@CattleFarm	Chicken@Retail	0.512
FreshProduce	Chicken@Retail	0.4
RawMilk	Chicken@Retail	0.28
Sand@RecreationalBeach	Chicken@Retail	0.776
Water@IrrigationDitch	Chicken@Retail	0.624
Chicken@Abattoir	Turkey@Farm	0.216
Chicken@Farm	Turkey@Farm	0.04
Chicken@Retail	Turkey@Farm	0.208
Turkey@Farm	Turkey@Farm	0
Turkey@Retail	Turkey@Farm	0.208
Duck@Farm	Turkey@Farm	0.04
Duck@Retail	Turkey@Farm	0.208
Goose@Farm	Turkey@Farm	0.04
Cow@Abattoir	Turkey@Farm	0.328
Cow@Farm	Turkey@Farm	0.184
Goat@Farm	Turkey@Farm	0.12
Sheep@Farm	Turkey@Farm	0.12
Cow@Retail	Turkey@Farm	0.352
Pig@Farm	Turkey@Farm	0.12
Pig@Retail	Turkey@Farm	0.288
Sheep@Retail	Turkey@Farm	0.288
Donkey@Farm	Turkey@Farm	0.416
Horse@Farm	Turkey@Farm	0.416
Llama@Farm	Turkey@Farm	0.416
DomesticFly	Turkey@Farm	0.504
Rat	Turkey@Farm	0.6
Skunk	Turkey@Farm	0.608
Deer	Turkey@Farm	0.608
Soil@CattleFarm	Turkey@Farm	0.488
Water@Lake	Turkey@Farm	0.696
Seagull	Turkey@Farm	0.48
WildGoose	Turkey@Farm	0.544
Raccoon	Turkey@Farm	0.544
Human_Urban	Turkey@Farm	0.616
Human_FarmWorker	Turkey@Farm	0.56
Human_AbattoirWorker	Turkey@Farm	0.672
Cat	Turkey@Farm	0.632
Dog	Turkey@Farm	0.632
Sewage@TreatmentPlant	Turkey@Farm	0.688
Lagoon@PigFarm	Turkey@Farm	0.48
Manure@CattleFarm	Turkey@Farm	0.512
FreshProduce	Turkey@Farm	0.4
RawMilk	Turkey@Farm	0.352
Sand@RecreationalBeach	Turkey@Farm	0.792
Water@IrrigationDitch	Turkey@Farm	0.624
Chicken@Abattoir	Turkey@Retail	0.176
Chicken@Farm	Turkey@Retail	0.208
Chicken@Retail	Turkey@Retail	0.04
Turkey@Farm	Turkey@Retail	0.208
Turkey@Retail	Turkey@Retail	0
Duck@Farm	Turkey@Retail	0.208
Duck@Retail	Turkey@Retail	0.04
Goose@Farm	Turkey@Retail	0.208
Cow@Abattoir	Turkey@Retail	0.272
Cow@Farm	Turkey@Retail	0.352
Goat@Farm	Turkey@Retail	0.288
Sheep@Farm	Turkey@Retail	0.288
Cow@Retail	Turkey@Retail	0.184
Pig@Farm	Turkey@Retail	0.288
Pig@Retail	Turkey@Retail	0.12
Sheep@Retail	Turkey@Retail	0.12
Donkey@Farm	Turkey@Retail	0.384
Horse@Farm	Turkey@Retail	0.384
Llama@Farm	Turkey@Retail	0.384
DomesticFly	Turkey@Retail	0.448
Rat	Turkey@Retail	0.568
Skunk	Turkey@Retail	0.592
Deer	Turkey@Retail	0.592
Soil@CattleFarm	Turkey@Retail	0.488
Water@Lake	Turkey@Retail	0.68
Seagull	Turkey@Retail	0.48
WildGoose	Turkey@Retail	0.528
Raccoon	Turkey@Retail	0.512
Human_Urban	Turkey@Retail	0.52
Human_FarmWorker	Turkey@Retail	0.616
Human_AbattoirWorker	Turkey@Retail	0.616
Cat	Turkey@Retail	0.592
Dog	Turkey@Retail	0.592
Sewage@TreatmentPlant	Turkey@Retail	0.664
Lagoon@PigFarm	Turkey@Retail	0.48
Manure@CattleFarm	Turkey@Retail	0.512
FreshProduce	Turkey@Retail	0.4
RawMilk	Turkey@Retail	0.28
Sand@RecreationalBeach	Turkey@Retail	0.776
Water@IrrigationDitch	Turkey@Retail	0.624
Chicken@Abattoir	Duck@Farm	0.216
Chicken@Farm	Duck@Farm	0.04
Chicken@Retail	Duck@Farm	0.208
Turkey@Farm	Duck@Farm	0.04
Turkey@Retail	Duck@Farm	0.208
Duck@Farm	Duck@Farm	0
Duck@Retail	Duck@Farm	0.208
Goose@Farm	Duck@Farm	0.04
Cow@Abattoir	Duck@Farm	0.328
Cow@Farm	Duck@Farm	0.184
Goat@Farm	Duck@Farm	0.12
Sheep@Farm	Duck@Farm	0.12
Cow@Retail	Duck@Farm	0.352
Pig@Farm	Duck@Farm	0.12
